Year,Time,Bib,Name,Country,Gender,Club
2015,68:12,C052,Luca AGOSTI,IT,,SPORTLER
2015,68:13,B116,Bruno DAUCHEZ,FR,,Membre Individuel 38 FFCT
2015,68:13,X280,Hervé DELECOEUILLERIE,FR,,ASPTT Amiens
2015,68:13,B155,Sven GRUNDMANN,DE,,ARA REGION KÖLN
2015,68:13,L006,Tommy HEINERMARK,SE,,RANDONNEURS SVERIGE
2015,68:13,H227,Jan Jose KRAEMER,PR,,SAN JUAN CYCLING CLUB
2015,68:13,X277,Sylvian TAMPIGNY,FR,,US Cheminots d'Amiens
2015,68:13,H145,Rinaldo TOSON,IT,,TEAM GRANZON
2015,68:15,B214,Bruno COQUEMONT,FR,,Roue Libre Ambarroise
2015,68:15,Y109,Dougin WALKER,US,,NEW JERSEY RANDONNEURS
2015,68:16,D256,Vincenzo FERRARESE,IT,,RACING TEAM LA BICI-ARQUATA S.
2015,68:16,A118,Stefan FLINK,SE,,CK SUNDET
2015,68:16,F210,Laurent JUBIN,FR,,Membre Individuel 44 FFCT
2015,68:16,F211,Sylvie QUÉMENER,FR,F,Membre Individuel 44 FFCT
2015,68:19,J144,Alexander MURAVEV,RU,,VELO CLUB VESTLAND RANDONNEUR (KALININGRAD)
2015,68:20,E123,Christian MAUDUIT,FR,,Union Vélo. Argenteuil
2015,68:22,X217,Philippe CARPENTIER,FR,,ASPTT Béthune
2015,68:24,B142,Bruno FONTAINE,FR,,Cyclo Club Brandérion
2015,68:24,B138,Jérôme TREHIN,FR,,Club Cyclo du Poher - Carhaix
2015,68:25,E100,Simone CAVALLERI,IT,,TEAM TESTA TIPOLITOGRAFIA
2015,68:25,M214,David DESSARTINE,FR,,AC Banlieue Est - Le Perreux
2015,68:25,E059,Giacomo GAVAZZENI,IT,,TEAM TESTA
2015,68:25,E075,Gianluigi MAGRI,IT,,TEAM TESTA
2015,68:26,B014,Johannes DÜSING,DE,,ARA EMSLAND
2015,68:26,D082,Ryan LINNE,US,,WILD CARD CYCLING
2015,68:26,D184,Daniel MAUGÉ,FR,,Squadra Forézienne - Feurs
2015,68:26,D075,Jay YOST,US,,WILD CARD CYCLING
2015,68:27,Y125,Jochen BETZ,DE,,ARA BREISGAU
2015,68:27,C031,Steven BRYCE,GB,,VC 167
2015,68:27,D027,Craig LAWRENCE,AU,,A.A. VICTORIA
2015,68:27,C059,Erik RINGQVIST,SE,,RANDONNEUR STOCKHOLM
2015,68:28,B196,Alexandre BARELLA,FR,,Cyclo Club Fleurantin
2015,68:28,T120,Pawel SEKULSKI,PL,,RANDONNEURS POLSKA
2015,68:32,L050,Martin GROENE,DE,,ARA NIEDERRHEIN
2015,68:32,B180,Denis LAUNAY,FR,,Vélo Sport Quiberonnais
2015,68:32,K229,Daniele MENCI,IT,,RANDONNEUR AREZZO
2015,68:33,Z202,Matthias GANSSMANN,DE,,ARA BREISGAU
2015,68:34,X193,Jean-François BELLUGUE,FR,,Randonneurs Autonomes Aquitains
2015,68:34,P036,Marian GRASSMANN,DE,,ARA HAMBURG/NORDDEUTSCHLAND
2015,68:34,G284,Didier HARDY,FR,,ASPTT Annecy
2015,68:34,X093,Jochen KAISER,DE,,ARA NIEDERRHEIN
2015,68:34,B231,Christian WIMMER,DE,,ARA SÜDBAYERN
2015,68:35,C017,Michael HESS,DE,,ARA EMSLAND
2015,68:35,D012,Mathias KLAEHN,DE,,ARA BRANDENBURG BERLIN
2015,68:37,A156,Jacques CRESSANT,FR,,US Métro Transports
2015,68:37,C066,Marcel RINDT,NL,,EURAUDAX RAND NED.
2015,68:37,E189,Serge VAYSSIÈRE,FR,,ASPTT Lot-et-Garonne
2015,68:38,B076,Jens KUﬂLER,DE,,ARA HAMBURG/NORDDEUTSCHLAND
2015,68:38,E031,Erik LÖNN,SE,,RANDONNEUR STOCKHOLM
2015,68:38,E032,Sirakorn PUNNAPRADABKIJ,TH,,RANDONNEURS THAILAND
2015,68:42,A032,Marcello D'ONOFRIO,IT,,ARA WESERBERGLAND
2015,68:42,D081,Jeffrey HULETT,US,,ROCKY MOUNTAINS CYCLING CLUB
2015,68:42,S180,Harry ROMBERG,DE,,ARA NIEDERRHEIN
2015,68:44,Y174,Jérôme JUMELAIS,FR,,Guidon Gorronnais - Gorron
2015,68:44,Y245,Frédéric LE FLOCH,FR,,PL Bergot Cyclo
2015,68:44,Z114,Jean-Michel VERMEIRE,FR,,Union Rand. Picards - Amiens
2015,68:45,X219,Michaël ZAKRZEWSKI,FR,,ASPTT Béthune
2015,68:47,Z032,Sergey BOROZDIN,RU,,OURAL-MARAFON (EKATERINBOURG)
2015,68:48,Y146,Michael THOMPSON,GB,,AUDAX UK
2015,68:49,C135,Jean-Jacques HORLAMUS,FR,,CC Baillet en France
2015,68:49,L035,Wichian NGAMSANG,TH,,RANDONNEURS THAILAND
2015,68:49,A105,Hahn ROSSMAN,US,,SEATTLE INTERNATIONAL RANDONNEURS
2015,68:49,A079,Reimert SJØBLOM,SE,,RANDONNEUR STOCKHOLM
2015,68:49,A108,Dieter VANMOORTEL,BE,,INDIVIDUEL
2015,68:50,H292,Pierre CLÉMENT,FR,,Amicale Club Cyclo Basse Goulaine
2015,68:52,E011,Marco Fulvio CASALI,SM,,COSMOS REP. SAN MARINO
2015,68:53,A035,Detlef BOIE,DE,,ARA HAMBURG/NORDDEUTSCHLAND
2015,68:53,D063,Franco BRAMBILLASCA,IT,,CPS
2015,68:53,A036,Michael KOPMANN,DE,,ARA HAMBURG/NORDDEUTSCHLAND
2015,68:53,D088,David LANE,GB,,RAVENSTHORPE CC
2015,68:53,R107,Deacon Matthew LEVY,US,,QUAD CITY RANDONNEURS
2015,68:53,D048,Dorina VACCARONI,IT,F,RANDONNEUR PORDENONE
2015,68:54,N068,Román HERNÁNDEZ SIERRA,ES,,SC VITORIANA (AL)
2015,68:54,N067,María Jesús LÓPEZ DE ERENCHUN FERN= ÁNDEZ DE LIGER,ES,F,SC VITORIANA (AL)
2015,68:55,C183,Jean-Luc TRICHÉ,FR,,Cyclos Cité des Etangs - Rosporden
2015,68:56,C005,Urs ARNOLD KUTSCHERA,CH,,AUDAX SUISSE
2015,68:57,B232,Aritz HUEGUN,ES,,ZARAUTZKO Z.E.
2015,68:57,B080,John LARSEN,DK,,AUDAX RAND DANEMARK
2015,68:57,B016,Kim MUSTONEN NIELSEN,DK,,AUDAX RAND DANEMARK
2015,68:59,D069,Samuel CROSSLEY,GB,,DULWICH PARAGON
2015,68:59,B044,Bernd KLUS,DE,,ARA EMSLAND
2015,68:59,P187,Peter WAGNER,DE,,ARA NORDBAYERN FRANKISCHE ALB
2015,69:04,X188,Nicolas BILGER,FR,,Union Sport. Police Urb. Strasbourg
2015,69:04,D239,Cédric LE FRINGÈRE,FR,,Avenir Irodouër
2015,69:05,Y239,Alain ARDIET,FR,,Cyclo Vallée de Thônes
2015,69:05,Y250,Romain BOHINEUST,FR,,Vélo Loisirs Saosnois - Mamers
2015,69:06,C131,Didier MATHIS,FR,,Cyclo Club Chavelotais
2015,69:07,Y064,Jason ENGLISH,CA,,RANDONNEURS ALBERTA
2015,69:07,Z047,Max GRUB,CH,,INDIVIDUEL
2015,69:07,Z017,Kurt HERREN,CH,,INDIVIDUEL
2015,69:07,Y092,Casey LAMBERT,CA,,C.V.RAND.MONTREAL (QUEBEC)
2015,69:07,Z144,Gilles MALARD,FR,,Amicale Cyclo Le Poiré-sur-Vie
2015,69:07,Z016,Bruno WYSS,CH,,INDIVIDUEL
2015,69:09,A208,Marc PONTIF,FR,,Sport Olympique Seyssois
2015,69:09,N192,Gavin REICHERT,GB,,AUDAX UK
2015,69:10,E053,Wolfgang SCHLAFFER,DE,,ARA S‹DBAYERN
2015,69:10,E094,Günter WOLF,DE,,ARA S‹DBAYERN
2015,69:12,B188,Jean-Baptiste MOIZAN,FR,,Cyclos du Pays de Quintin
2015,69:13,E218,Christophe JEAN,FR,,Cyclo Rand. Cornouaille - Quimper
